CLAIM_ID,ROUTE,COMPONENT_OR_FILE,EXACT_VISIBLE_OR_STRUCTURED_CLAIM,CLAIM_TYPE,SUBJECT,PUBLIC_VISIBILITY,EVIDENCE_STATUS,EVIDENCE_LOCATION,CLIENT_PERMISSION_STATUS,RISK_LEVEL,RECOMMENDED_ACTION,NOTES
CLM-TST-01,"/, /sobre, /portfolio","src/lib/site-config.ts:373","«Os nossos convidados falaram do convite durante semanas a experiência digital definiu o tom de todo o casamento. O evento correu com uma fluidez que ainda hoje nos comove. Não encontramos palavras para agradecer o cuidado em cada detalhe.» — Vânia Luky & Fabiao Dimande",TESTIMONIAL,"Vânia Luky & Fabião Dimande",PUBLIC,CLIENT_PERMISSION_REQUIRED,"src/lib/site-config.ts",CLIENT_PERMISSION_REQUIRED,HIGH,OBTAIN_CLIENT_CONSENT_OR_ANONYMIZE,"Cliente real da marca. Necessário termo formal de autorização de imagem e testemunho assinado ou anonimização editorial."
CLM-TST-02,"/, /sobre, /portfolio","src/lib/site-config.ts:385","«Os convites são absolutamente top elegantes, impecáveis e com uma presença que impressiona antes mesmo do grande dia. Foi o primeiro gesto certo para o nosso evento, e os convidados adoraram.» — Helena & Arson",TESTIMONIAL,"Helena & Arson",PUBLIC,CLIENT_PERMISSION_REQUIRED,"src/lib/site-config.ts",CLIENT_PERMISSION_REQUIRED,HIGH,OBTAIN_CLIENT_CONSENT_OR_ANONYMIZE,"Identidade dos clientes exibida. Necessário termo de consentimento ou anonimização para 'Casal HAXR'."
CLM-TST-03,/,"src/components/sections/DigitalInvitations.tsx:111","«Quando os nossos convidados abriram o nosso Web-Convite HAXR, o feedback foi imediato: nunca tinham visto nada tão sofisticado. Ali soubemos que a HAXR era o parceiro certo.» — Vânia Lucky & Fabião Dimande, Casamento em 2026",TESTIMONIAL,"Vânia Lucky & Fabião Dimande",PUBLIC,CLIENT_PERMISSION_REQUIRED,"src/components/sections/DigitalInvitations.tsx",CLIENT_PERMISSION_REQUIRED,HIGH,ALIGN_WITH_OFFICIAL_TESTIMONIAL,"Divergência ortográfica ('Lucky' vs 'Luky') e data '2026' contradiz 'Dezembro 2024' noutro ficheiro."
CLM-TST-04,/,"src/components/home/HomeWeddingGallery.tsx:38","«A HAXR organizou tudo com um rigor impecável, mas o resultado final foi de uma sensibilidade e beleza poética indescritíveis.» — Vânia Fabião (120 convidados)",TESTIMONIAL,"Vânia Fabião",PUBLIC,CLIENT_PERMISSION_REQUIRED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,HIGH,ALIGN_DATA_AND_CONSENT,"Terceira citação diferente atribuída à mesma cliente; divergência de contagem de convidados (120 vs 350)."
CLM-TST-05,/,"src/components/home/HomeWeddingGallery.tsx:55","«Ter o RSVP e os convites digitais perfeitamente integrados com as confirmações no WhatsApp poupou-nos semanas de trabalho e stress.» — Sofia Antunes (Sofia & Alberto, Bilene, 150 convidados)",TESTIMONIAL,"Sofia & Alberto",PUBLIC,EVIDENCE_REQUIRED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,HIGH,VERIFY_REAL_EVENT_EXISTENCE,"Não há registo contratual local que comprove a celebração em Bilene com 150 convidados."
CLM-TST-06,/,"src/components/home/HomeWeddingGallery.tsx:72","«Planear à distância na Ilha de Bazaruto parecia impossível, mas a plataforma HAXR manteve todos os fornecedores alinhados e o orçamento sob controlo.» — Naíma (Naíma & Cassamo, Bazaruto, 80 convidados)",TESTIMONIAL,"Naíma & Cassamo",PUBLIC,EVIDENCE_REQUIRED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,HIGH,VERIFY_REAL_EVENT_EXISTENCE,"Sem evidência contratual ou registo fotográfico autêntico de destination wedding em Bazaruto."
CLM-TST-07,/,"src/components/home/HomeWeddingGallery.tsx:89","«O profissionalismo e a discrição no dia foram impecáveis. Os nossos convidados sentiram-se acolhidos numa experiência única e muito sofisticada.» — Jéssica Samuel (Jéssica & Samuel, Inhambane, 200 convidados)",TESTIMONIAL,"Jéssica & Samuel",PUBLIC,EVIDENCE_REQUIRED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,HIGH,RESOLVE_LOCATION_CONTRADICTION,"Contradição directa com outros ficheiros onde o evento de Jessica & Samuel é em Maputo (Espaço Nobre)."
CLM-PRT-01,"/portfolio, /assessoria-eventos","src/lib/marketing/editorial.ts:289","Vânia Luky & Fabião Dimande — Casamento realizado no Evelyn Eventos, C. de Maputo, integrando assessoria completa, identidade visual e experiência digital de convites.",PORTFOLIO,"Vânia Luky & Fabião Dimande",PUBLIC,OWNER_CONFIRMED,"src/lib/marketing/editorial.ts",CLIENT_PERMISSION_REQUIRED,MEDIUM,ARCHIVE_CLIENT_PERMISSION,"Trabalho real autêntico confirmado pelo proprietário. Requer arquivo de autorização de uso de imagem dos titulares."
CLM-PRT-02,"/portfolio, /experiencias","src/lib/marketing/editorial.ts:305","Jessica & Samuel — Save the Date editorial em capítulos, referências visuais de dress code e RSVP integrado, assinatura Royal HAXR.",PORTFOLIO,"Jessica & Samuel",PUBLIC,OWNER_CONFIRMED,"src/lib/marketing/editorial.ts",CLIENT_PERMISSION_REQUIRED,MEDIUM,ARCHIVE_CLIENT_PERMISSION,"Projecto demonstrativo / cliente real. Requer confirmação de consentimento para publicação de nomes e fotografias."
CLM-PRT-03,/convites-identidade-visual,"src/app/(marketing)/convites-identidade-visual/_components/InvitationAtelierExperience.tsx:88","Jessica · Kulaya — Cerimónia de Transição · Cultural Edition. Tradição, identidade e presença traduzidas para uma experiência digital contemporânea.",PORTFOLIO,"Jessica Kulaya",PUBLIC,OWNER_CONFIRMED,"https://edition.haxrsignature.com/jessicakulaya",CLIENT_PERMISSION_REQUIRED,MEDIUM,CONFIRM_HOSTING_CONSENT,"Ligação activa para subdomínio de edição. Necessário termo de consentimento da titular."
